03/25 00:57:57 - OpenCompass - INFO - Task [opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-16-bit-quantized/lukaemon_mmlu_professional_law_0]
2024-03-25 00:57:58.038754: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-25 00:57:58.856162: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
03/25 00:58:01 - OpenCompass - WARNING - pad_token_id is not set for the tokenizer.
03/25 00:58:01 - OpenCompass - WARNING - Using eos_token_id </s> as pad_token_id.

Loading checkpoint shards:   0%|                                                                                                                                                                       | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|█████████████████████████████████████████████████████                                                                                                          | 1/3 [00:01<00:03,  1.65s/it]
Loading checkpoint shards:  67%|██████████████████████████████████████████████████████████████████████████████████████████████████████████                                                     | 2/3 [00:03<00:01,  1.66s/it]
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.61s/it]
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.62s/it]
03/25 00:58:10 - OpenCompass - INFO - Start inferencing [opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-16-bit-quantized/lukaemon_mmlu_professional_law_0]

  0%|                                                                                                                                                                                                | 0/767 [00:00<?, ?it/s]
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 767/767 [00:00<00:00, 2929900.88it/s]
[2024-03-25 00:58:15,357] [opencompass.openicl.icl_inferencer.icl_ppl_inferencer] [INFO] Calculating PPL for prompts labeled 'A'

  9%|████████████████▋                                                                                                                                                                      | 35/384 [00:42<06:59,  1.20s/it]
  9%|█████████████████▏                                                                                                                                                                     | 36/384 [00:44<07:21,  1.27s/it]
 10%|█████████████████▋                                                                                                                                                                     | 37/384 [00:45<07:08,  1.23s/it]
 10%|██████████████████                                                                                                                                                                     | 38/384 [00:46<06:58,  1.21s/it]
 10%|██████████████████▌                                                                                                                                                                    | 39/384 [00:47<06:49,  1.19s/it]
 10%|███████████████████                                                                                                                                                                    | 40/384 [00:48<06:54,  1.21s/it]
 11%|███████████████████▌                                                                                                                                                                   | 41/384 [00:50<07:04,  1.24s/it]
 11%|████████████████████                                                                                                                                                                   | 42/384 [00:51<07:10,  1.26s/it]
 11%|████████████████████▍                                                                                                                                                                  | 43/384 [00:52<06:57,  1.22s/it]
 11%|████████████████████▉                                                                                                                                                                  | 44/384 [00:53<06:48,  1.20s/it]
 12%|█████████████████████▍                                                                                                                                                                 | 45/384 [00:55<07:13,  1.28s/it]
 12%|█████████████████████▉                                                                                                                                                                 | 46/384 [00:56<06:56,  1.23s/it]
 12%|██████████████████████▍                                                                                                                                                                | 47/384 [00:57<06:55,  1.23s/it]
 12%|██████████████████████▉                                                                                                                                                                | 48/384 [00:58<06:36,  1.18s/it]
 13%|███████████████████████▎                                                                                                                                                               | 49/384 [00:59<06:34,  1.18s/it]
 13%|███████████████████████▊                                                                                                                                                               | 50/384 [01:01<07:16,  1.31s/it]
 13%|████████████████████████▎                                                                                                                                                              | 51/384 [01:02<06:53,  1.24s/it]
 14%|████████████████████████▊                                                                                                                                                              | 52/384 [01:03<06:45,  1.22s/it]
 14%|█████████████████████████▎                                                                                                                                                             | 53/384 [01:04<06:31,  1.18s/it]
 14%|█████████████████████████▋                                                                                                                                                             | 54/384 [01:05<06:27,  1.17s/it]
 14%|██████████████████████████▏                                                                                                                                                            | 55/384 [01:07<06:24,  1.17s/it]
 15%|██████████████████████████▋                                                                                                                                                            | 56/384 [01:08<06:24,  1.17s/it]
 15%|███████████████████████████▏                                                                                                                                                           | 57/384 [01:09<06:24,  1.18s/it]
 15%|███████████████████████████▋                                                                                                                                                           | 58/384 [01:10<06:23,  1.18s/it]
 15%|████████████████████████████                                                                                                                                                           | 59/384 [01:11<06:16,  1.16s/it]
 16%|████████████████████████████▌                                                                                                                                                          | 60/384 [01:12<06:05,  1.13s/it]
 16%|█████████████████████████████                                                                                                                                                          | 61/384 [01:14<06:16,  1.17s/it]
 16%|█████████████████████████████▌                                                                                                                                                         | 62/384 [01:15<06:13,  1.16s/it]
 16%|██████████████████████████████                                                                                                                                                         | 63/384 [01:16<06:11,  1.16s/it]
 17%|██████████████████████████████▌                                                                                                                                                        | 64/384 [01:17<06:20,  1.19s/it]
 17%|██████████████████████████████▉                                                                                                                                                        | 65/384 [01:18<06:15,  1.18s/it]
 17%|███████████████████████████████▍                                                                                                                                                       | 66/384 [01:19<06:08,  1.16s/it]
 17%|███████████████████████████████▉                                                                                                                                                       | 67/384 [01:20<06:04,  1.15s/it]
 18%|████████████████████████████████▍                                                                                                                                                      | 68/384 [01:22<05:58,  1.14s/it]
 18%|████████████████████████████████▉                                                                                                                                                      | 69/384 [01:23<05:56,  1.13s/it]
 18%|█████████████████████████████████▎                                                                                                                                                     | 70/384 [01:24<06:09,  1.18s/it]
 18%|█████████████████████████████████▊                                                                                                                                                     | 71/384 [01:25<06:01,  1.15s/it]
 19%|██████████████████████████████████▎                                                                                                                                                    | 72/384 [01:26<06:00,  1.16s/it]
 19%|██████████████████████████████████▊                                                                                                                                                    | 73/384 [01:27<06:02,  1.17s/it]
 19%|███████████████████████████████████▎                                                                                                                                                   | 74/384 [01:29<05:59,  1.16s/it]
 20%|███████████████████████████████████▋                                                                                                                                                   | 75/384 [01:30<06:03,  1.18s/it]
 20%|████████████████████████████████████▏                                                                                                                                                  | 76/384 [01:31<06:18,  1.23s/it]
 20%|████████████████████████████████████▋                                                                                                                                                  | 77/384 [01:32<06:18,  1.23s/it]
 20%|█████████████████████████████████████▏                                                                                                                                                 | 78/384 [01:34<06:12,  1.22s/it]
 21%|█████████████████████████████████████▋                                                                                                                                                 | 79/384 [01:35<06:05,  1.20s/it]
 21%|██████████████████████████████████████▏                                                                                                                                                | 80/384 [01:36<06:11,  1.22s/it]
 21%|██████████████████████████████████████▌                                                                                                                                                | 81/384 [01:37<05:58,  1.18s/it]
 21%|███████████████████████████████████████                                                                                                                                                | 82/384 [01:38<05:54,  1.17s/it]
 22%|███████████████████████████████████████▌                                                                                                                                               | 83/384 [01:40<06:05,  1.21s/it]
 22%|████████████████████████████████████████                                                                                                                                               | 84/384 [01:41<06:02,  1.21s/it]
 22%|████████████████████████████████████████▌                                                                                                                                              | 85/384 [01:42<06:08,  1.23s/it]
 22%|████████████████████████████████████████▉                                                                                                                                              | 86/384 [01:43<05:57,  1.20s/it]
 23%|█████████████████████████████████████████▍                                                                                                                                             | 87/384 [01:44<06:02,  1.22s/it]
 23%|█████████████████████████████████████████▉                                                                                                                                             | 88/384 [01:46<05:50,  1.18s/it]
 23%|██████████████████████████████████████████▍                                                                                                                                            | 89/384 [01:47<05:46,  1.18s/it]
 23%|██████████████████████████████████████████▉                                                                                                                                            | 90/384 [01:48<05:37,  1.15s/it]
 24%|███████████████████████████████████████████▎                                                                                                                                           | 91/384 [01:49<05:32,  1.13s/it]
 24%|███████████████████████████████████████████▊                                                                                                                                           | 92/384 [01:50<05:31,  1.13s/it]
 24%|████████████████████████████████████████████▎                                                                                                                                          | 93/384 [01:51<05:46,  1.19s/it]
 24%|████████████████████████████████████████████▊                                                                                                                                          | 94/384 [01:52<05:40,  1.17s/it]
 25%|█████████████████████████████████████████████▎                                                                                                                                         | 95/384 [01:54<05:34,  1.16s/it]
 25%|█████████████████████████████████████████████▊                                                                                                                                         | 96/384 [01:55<05:33,  1.16s/it]
 25%|██████████████████████████████████████████████▏                                                                                                                                        | 97/384 [01:56<05:55,  1.24s/it]
 26%|██████████████████████████████████████████████▋                                                                                                                                        | 98/384 [01:57<05:44,  1.21s/it]
 26%|███████████████████████████████████████████████▏                                                                                                                                       | 99/384 [01:58<05:37,  1.18s/it]
 26%|███████████████████████████████████████████████▍                                                                                                                                      | 100/384 [02:00<05:36,  1.18s/it]
 26%|███████████████████████████████████████████████▊                                                                                                                                      | 101/384 [02:01<05:27,  1.16s/it]
 27%|████████████████████████████████████████████████▎                                                                                                                                     | 102/384 [02:02<05:39,  1.20s/it]
 27%|████████████████████████████████████████████████▊                                                                                                                                     | 103/384 [02:03<05:44,  1.23s/it]
 27%|█████████████████████████████████████████████████▎                                                                                                                                    | 104/384 [02:04<05:37,  1.21s/it]
 27%|█████████████████████████████████████████████████▊                                                                                                                                    | 105/384 [02:06<05:30,  1.18s/it]
 28%|██████████████████████████████████████████████████▏                                                                                                                                   | 106/384 [02:07<05:27,  1.18s/it]
 28%|██████████████████████████████████████████████████▋                                                                                                                                   | 107/384 [02:08<05:12,  1.13s/it]
 28%|███████████████████████████████████████████████████▏                                                                                                                                  | 108/384 [02:09<05:23,  1.17s/it]
 28%|███████████████████████████████████████████████████▋                                                                                                                                  | 109/384 [02:10<05:12,  1.14s/it]
 29%|████████████████████████████████████████████████████▏                                                                                                                                 | 110/384 [02:11<05:19,  1.16s/it]
 29%|████████████████████████████████████████████████████▌                                                                                                                                 | 111/384 [02:13<05:25,  1.19s/it]
 29%|█████████████████████████████████████████████████████                                                                                                                                 | 112/384 [02:14<05:29,  1.21s/it]
 29%|█████████████████████████████████████████████████████▌                                                                                                                                | 113/384 [02:15<05:24,  1.20s/it]
 30%|██████████████████████████████████████████████████████                                                                                                                                | 114/384 [02:16<05:19,  1.18s/it]
 30%|██████████████████████████████████████████████████████▌                                                                                                                               | 115/384 [02:17<05:12,  1.16s/it]
 30%|██████████████████████████████████████████████████████▉                                                                                                                               | 116/384 [02:18<05:13,  1.17s/it]
 30%|███████████████████████████████████████████████████████▍                                                                                                                              | 117/384 [02:20<05:14,  1.18s/it]
 31%|███████████████████████████████████████████████████████▉                                                                                                                              | 118/384 [02:21<05:11,  1.17s/it]
 31%|████████████████████████████████████████████████████████▍                                                                                                                             | 119/384 [02:22<05:08,  1.16s/it]
 31%|████████████████████████████████████████████████████████▉                                                                                                                             | 120/384 [02:23<05:20,  1.21s/it]
 32%|█████████████████████████████████████████████████████████▎                                                                                                                            | 121/384 [02:24<05:15,  1.20s/it]
 32%|█████████████████████████████████████████████████████████▊                                                                                                                            | 122/384 [02:26<05:10,  1.18s/it]
 32%|██████████████████████████████████████████████████████████▎                                                                                                                           | 123/384 [02:27<05:39,  1.30s/it]
 32%|██████████████████████████████████████████████████████████▊                                                                                                                           | 124/384 [02:28<05:36,  1.29s/it]
 33%|███████████████████████████████████████████████████████████▏                                                                                                                          | 125/384 [02:30<05:25,  1.26s/it]
 33%|███████████████████████████████████████████████████████████▋                                                                                                                          | 126/384 [02:31<05:21,  1.25s/it]
 33%|████████████████████████████████████████████████████████████▏                                                                                                                         | 127/384 [02:32<05:21,  1.25s/it]
 33%|████████████████████████████████████████████████████████████▋                                                                                                                         | 128/384 [02:33<05:18,  1.24s/it]
 34%|█████████████████████████████████████████████████████████████▏                                                                                                                        | 129/384 [02:35<05:27,  1.29s/it]
 34%|█████████████████████████████████████████████████████████████▌                                                                                                                        | 130/384 [02:36<05:17,  1.25s/it]
 34%|██████████████████████████████████████████████████████████████                                                                                                                        | 131/384 [02:37<05:07,  1.22s/it]
 34%|██████████████████████████████████████████████████████████████▌                                                                                                                       | 132/384 [02:38<05:01,  1.20s/it]
 35%|███████████████████████████████████████████████████████████████                                                                                                                       | 133/384 [02:39<04:56,  1.18s/it]
 35%|███████████████████████████████████████████████████████████████▌                                                                                                                      | 134/384 [02:41<04:55,  1.18s/it]
 35%|███████████████████████████████████████████████████████████████▉                                                                                                                      | 135/384 [02:42<04:57,  1.20s/it]
 35%|████████████████████████████████████████████████████████████████▍                                                                                                                     | 136/384 [02:43<04:52,  1.18s/it]
 36%|████████████████████████████████████████████████████████████████▉                                                                                                                     | 137/384 [02:44<05:07,  1.25s/it]
 36%|█████████████████████████████████████████████████████████████████▍                                                                                                                    | 138/384 [02:46<05:07,  1.25s/it]
 36%|█████████████████████████████████████████████████████████████████▉                                                                                                                    | 139/384 [02:47<04:59,  1.22s/it]
 36%|██████████████████████████████████████████████████████████████████▎                                                                                                                   | 140/384 [02:48<04:56,  1.22s/it]
 37%|██████████████████████████████████████████████████████████████████▊                                                                                                                   | 141/384 [02:49<05:00,  1.24s/it]
 37%|███████████████████████████████████████████████████████████████████▎                                                                                                                  | 142/384 [02:51<05:05,  1.26s/it]
 37%|███████████████████████████████████████████████████████████████████▊                                                                                                                  | 143/384 [02:52<04:52,  1.21s/it]
 38%|████████████████████████████████████████████████████████████████████▎                                                                                                                 | 144/384 [02:53<05:10,  1.29s/it]
 38%|████████████████████████████████████████████████████████████████████▋                                                                                                                 | 145/384 [02:54<04:57,  1.25s/it]
 38%|█████████████████████████████████████████████████████████████████████▏                                                                                                                | 146/384 [02:56<05:00,  1.26s/it]
 38%|█████████████████████████████████████████████████████████████████████▋                                                                                                                | 147/384 [02:57<04:46,  1.21s/it]
 39%|██████████████████████████████████████████████████████████████████████▏                                                                                                               | 148/384 [02:58<04:40,  1.19s/it]
 39%|██████████████████████████████████████████████████████████████████████▌                                                                                                               | 149/384 [02:59<04:36,  1.18s/it]
 39%|███████████████████████████████████████████████████████████████████████                                                                                                               | 150/384 [03:00<04:42,  1.21s/it]
